count_point_id,year,region_name,local_authority_name,road_name,road_type,latitude,longitude,all_motor_vehicles,cars_and_taxis,buses_and_coaches,lgvs,hgvs_2_rigid_axle,hgvs_3_rigid_axle,hgvs_4_or_more_rigid_axle,all_hgvs
942412,2019,London,Haringey,U,Minor,51.598285,-0.11259643,2726,2287,2,357,1,1,1,3
7635,2007,London,Harrow,A4090,Major,51.57949582,-0.36700298,10372,8710,155,1218,98,44,15,170
48821,2013,London,Westminster,A3213,Major,51.49067288,-0.13898291,2053,1445,171,305,99,2,1,102
36942,2018,London,Ealing,A312,Major,51.538894,-0.38648125,20266,15532,700,2822,346,101,153,865
942558,2019,London,Croydon,C,Minor,51.388524,-0.07991862,2402,1904,112,312,5,5,0,10
73321,2023,London,Lambeth,A23,Major,51.418548,-0.12753166,12492,8962,224,2127,167,36,51,285
36796,2008,London,Westminster,A202,Major,51.49521647,-0.14196725,21883,14271,1556,3920,719,80,46,887
78366,2013,London,Waltham Forest,A1069,Major,51.63241722,0.00697751,6712,5625,389,562,85,7,3,95
16142,2018,London,Westminster,A302,Major,51.499817,-0.14869588,25221,15609,2349,5701,361,91,50,594
46836,2005,London,Bromley,A2015,Major,51.40887678,-0.03115419,6719,5663,91,662,111,16,28,194
74533,2002,London,Greenwich,A102,Major,51.47374361,0.02520496,45409,32611,248,7968,1499,146,462,3468
6123,2007,London,Hounslow,A4,Major,51.47748069,-0.40304953,16329,13626,456,1532,384,25,82,544
26430,2003,London,City of London,A40,Major,51.51789104,-0.10904658,16174,12346,922,1211,285,20,11,319
953289,2000,London,Bromley,U,Minor,51.39368585,0.12196034,633,543,4,71,8,0,0,10
953255,2002,London,Lewisham,U,Minor,51.44611068,-0.00585084,664,569,6,67,7,0,0,7
47658,2021,London,Wandsworth,A3205,Major,51.484446,-0.12922639,12189,7664,433,2655,282,63,210,598
47669,2014,London,Wandsworth,A3220,Major,51.46857574,-0.1633508,7792,6003,40,1146,143,13,9,170
38564,2005,London,Lambeth,A216,Major,51.42682099,-0.13586754,8952,6518,544,1350,194,20,21,256
81092,2023,London,Ealing,A4000,Major,51.523127,-0.26162949,3051,1646,236,881,67,4,6,86
26201,2007,London,Newham,A11,Major,51.53211916,-0.00969268,27327,21296,708,4016,355,40,98,569
6777,2012,London,Hammersmith and Fulham,A219,Major,51.47065802,-0.21078229,11538,8389,774,1300,221,71,33,363
36077,2021,London,Islington,A1,Major,51.562404,-0.12595648,11784,7942,510,2105,343,19,37,457
17174,2015,London,Haringey,A504,Major,51.58525078,-0.08171185,5766,4355,259,776,224,20,29,282
27341,2001,London,Barnet,A598,Major,51.56172185,-0.19711123,6060,4717,433,714,27,14,2,47
17429,2013,London,Enfield,A1010,Major,51.67338941,-0.03893988,7898,6598,235,800,174,10,4,194
990348,2002,London,Richmond upon Thames,U,Minor,51.43252453,-0.33239872,582,525,4,32,10,0,0,10
26101,2016,London,Greenwich,A2,Major,51.47348023,0.01439344,12408,9001,109,1870,272,59,317,900
942960,2014,London,Tower Hamlets,C,Minor,51.49028722,-0.02203081,1263,1053,90,92,10,2,0,12
26828,2015,London,Sutton,A237,Major,51.36950032,-0.15338219,5235,4191,75,679,102,24,27,212
6884,2017,London,Hammersmith and Fulham,A308,Major,51.47240661,-0.20164249,6883,5186,261,911,247,20,1,275
56775,2007,London,Merton,A217,Major,51.3967856,-0.17298409,10695,8666,235,1185,321,32,57,441
26012,2005,London,Hounslow,M4,Major,51.49507838,-0.34913283,39305,32109,547,4394,857,125,121,1546
74527,2019,London,Tower Hamlets,A12,Major,51.533358,-0.02189448,47968,35495,427,8744,1287,150,445,2276
38560,2017,London,Haringey,A103,Major,51.57936697,-0.12381541,10108,7287,611,1671,131,25,4,171
36669,2018,London,Hackney,A107,Major,51.54327,-0.05535569,9776,6688,1241,1248,258,33,15,322
801255,2023,London,Croydon,C,Minor,51.346312,-0.11084803,1945,1690,1,193,19,5,0,24
6754,2009,London,Greenwich,A205,Major,51.48902251,0.06693552,2751,1828,460,378,36,1,0,55
7052,2017,London,Brent,A404,Major,51.54358951,-0.27094479,10979,8412,322,1338,335,36,101,635
37106,2013,London,Hillingdon,A404,Major,51.61584793,-0.44153004,10747,9561,113,592,285,90,60,443
6802,2004,London,Croydon,A235,Major,51.35959275,-0.09789131,14275,11466,781,1441,269,27,12,329
47099,2009,London,Harrow,A404,Major,51.60311347,-0.38420597,11562,10021,152,1008,231,17,27,294
942928,2017,London,Sutton,U,Minor,51.35675369,-0.18767608,687,565,34,75,2,1,0,3
17876,2009,London,Havering,M25,Major,51.54258489,0.2822298,63541,47377,131,6840,1745,411,488,8809
26665,2004,London,Havering,A118,Major,51.57451718,0.16317637,9478,8072,186,940,147,10,1,183
811169,2021,London,Lewisham,U,Minor,51.471067,-0.04660612,779,605,1,117,23,4,0,27
6902,2002,London,Richmond upon Thames,A316,Major,51.47070201,-0.27370174,19196,16016,141,2094,259,10,66,404
8380,2007,London,Southwark,A2205,Major,51.49963706,-0.08141882,3077,1682,27,907,96,17,14,134
71011,2019,London,Haringey,A1000,Major,51.583236,-0.15927961,7325,5457,306,1098,136,20,11,174
74527,2001,London,Tower Hamlets,A12,Major,51.53335971,-0.0218944,50901,41918,239,6032,1129,95,273,1979
38683,2008,London,Redbridge,A12,Major,51.57717249,0.03485112,37149,28923,269,5762,939,218,169,1879
942816,2008,London,Newham,U,Minor,51.51220936,0.06060596,1134,966,22,112,17,0,0,17
7605,2012,London,Wandsworth,A3216,Major,51.4683699,-0.15025702,5689,3557,502,804,189,36,13,258
6426,2020,London,Westminster,A40,Major,51.514219,-0.14955328,3898,2212,1527,80,10,4,1,14
