u,v,osmid,highway,maxspeed,name,oneway,length,geometry,lanes
26385418,7146157566,4335346,residential,20 mph,Kingsground,FALSE,162.1721127,"LINESTRING (0.0440246 51.4481334, 0.0435614 51.4472616, 0.0434179 51.4470077, 0.0433226 51.4468724, 0.0432153 51.446769)",
1757218619,253393487,22604317,tertiary,20 mph,Elmwood Avenue,FALSE,54.21408167,"LINESTRING (-0.4004691 51.4356102, -0.4009149 51.4360108)",
26198353,25894279,4859717,residential,20 mph,Cornwallis Road,FALSE,72.40484811,"LINESTRING (-0.1255323 51.566149, -0.1252071 51.5658997, -0.1248726 51.5656432)",
35963339,35963341,5172744,residential,,Rokesby Close,FALSE,122.8566954,"LINESTRING (0.0853733 51.4669796, 0.0857477 51.4669008, 0.08577 51.4668873, 0.0857753 51.46687, 0.0853986 51.4661575, 0.0853869 51.4661373, 0.0853669 51.4660888)",
33213910,33776299,5045556,unclassified,20 mph,Brailsford Road,FALSE,44.76826405,"LINESTRING (-0.1118073 51.4539668, -0.111911 51.4539653, -0.1124406 51.4538924)",
283267057,21662611,25966220,residential,20 mph,Beauclerc Road,FALSE,70.32579178,"LINESTRING (-0.2300584 51.4994652, -0.2299945 51.4994731, -0.2291487 51.4995896, -0.2290663 51.4996014)",
1139390285,1139390281,98486334,residential,,Elstree Close,FALSE,46.66628493,"LINESTRING (0.2037195 51.5376828, 0.2042154 51.5375926, 0.2043671 51.537565)",
1613633,1613631,603515590,residential,20 mph,Oakleigh Green,FALSE,32.70535846,"LINESTRING (-0.1705107 51.6285009, -0.1706361 51.6284765, -0.1706686 51.6284731, -0.1709738 51.6284414)",1
27150315,27150195,488493716,tertiary,20 mph,Queens Road,FALSE,86.36465518,"LINESTRING (-0.197592 51.4239678, -0.1974495 51.4239952, -0.1971096 51.424053, -0.1967777 51.4241141, -0.1963958 51.4241842)",
620811277,5224198724,3648146,residential,30 mph,Winnington Road,FALSE,479.7006531,"LINESTRING (-0.1699943 51.5840881, -0.1705374 51.5829409, -0.1706867 51.5825406, -0.1707734 51.5822697, -0.170926 51.5817067, -0.1710675 51.5813376, -0.1711744 51.5811424, -0.1712729 51.5809876, -0.1715129 51.580707, -0.1716784 51.580527, -0.1721879 51.5800865, -0.1722256 51.5800534)",
277318228,221324340,"[23069976, 1298031241]",primary,,Broadmead Road,FALSE,167.5029418,"LINESTRING (0.0279001 51.6047075, 0.028771 51.6044882, 0.0291366 51.6043961, 0.0295679 51.60429, 0.0299715 51.6041907, 0.0300336 51.6041743, 0.0301493 51.6041439)","['3', '2']"
25257793,25257794,47438384,residential,20 mph,Shepherd Street,FALSE,13.52251759,"LINESTRING (-0.1469906 51.5061935, -0.1471366 51.5061801, -0.1471839 51.5061758)",
287635,10398122,83822863,tertiary,30 mph,Newport Road,TRUE,91.02685019,"LINESTRING (-0.4578034 51.480009, -0.4579341 51.4799791, -0.4580789 51.4799638, -0.4581966 51.4799661, -0.4587187 51.4799764, -0.4591069 51.4799789)",
26422578,26422586,1246996835,primary,,Ilford Lane,FALSE,67.94950967,"LINESTRING (0.0755501 51.5488497, 0.0759489 51.5482912)",2
573450043,20349838,558792577,residential,20 mph,Gordon Road,FALSE,247.5176773,"LINESTRING (-0.3159658 51.5150524, -0.3162904 51.5150725, -0.3164739 51.5150676, -0.3168509 51.5150574, -0.3168758 51.5150567, -0.3175909 51.5150263, -0.3177683 51.5150188, -0.3184064 51.5150032, -0.3184314 51.5150036, -0.3188889 51.5150104, -0.3191144 51.5150141, -0.3195372 51.5150284)",2
100344950,100346736,203411012,tertiary,20 mph,Rotherhithe Street,FALSE,100.7507757,"LINESTRING (-0.045086 51.505347, -0.0449622 51.5056723, -0.0446488 51.5059339, -0.0445217 51.5060468, -0.0444129 51.5061304)",
24556986,201108,977558475,unclassified,20 mph,Cline Road,FALSE,26.09103803,"LINESTRING (-0.1324423 51.6100497, -0.1323822 51.6101638, -0.1323278 51.6102733)",2
